estimator,filter,basin,size_class,n,R,mean_dir,iso_median,iso_p95,iso_p95_asymptotic,model,dBIC_next,strength,model_aic,dAIC_next,criteria_agree,BIC_VM1,BIC_VM1U,BIC_VM2,AIC_VM1,AIC_VM1U,AIC_VM2,mu1,kappa1,w1,mu2,kappa2,w2,min_dist_to_ref_deg,kappa_at_bound
moments,no filter,ALL,all,3210,0.1403,17.6,0.0148,0.0306,0.0305,VM1U,11.84,strong,VM2,0.3,False,11688.3,11671.2,11683.0,11676.1,11653.0,11652.7,19.5,2.15,0.199,,,,41.5,False
moments,no filter,ALL,<1 ha,2129,0.0966,13.3,0.0177,0.036,0.0375,VM1U,8.89,strong,VM2,2.44,False,7801.2,7786.9,7795.7,7789.8,7769.9,7767.4,14.8,3.08,0.129,,,,46.2,False
moments,no filter,ALL,1-2 ha,555,0.154,15.4,0.0355,0.0751,0.0735,VM2,4.08,weak,VM2,14.91,True,2026.2,2028.4,2022.1,2017.6,2015.4,2000.5,31.7,1.16,0.638,133.5,1.41,0.362,29.3,False
moments,no filter,ALL,>=2 ha,526,0.3155,24.0,0.0363,0.0755,0.0755,VM1,6.15,strong,VM1,1.89,True,1838.5,1844.7,1856.4,1830.0,1831.9,1835.1,24.0,0.67,1.0,,,,37.0,False
moments,no filter,ALL,top_decile,321,0.3883,25.5,0.046,0.0954,0.0966,VM1,5.8,weak,VM1,2.03,True,1090.7,1096.5,1107.9,1083.1,1085.1,1089.1,25.5,0.84,1.0,,,,35.5,False
moments,no filter,CMR,all,1779,0.1022,12.4,0.0196,0.0408,0.041,VM1U,4.98,weak,VM2,3.76,False,6516.9,6511.9,6519.1,6505.9,6495.4,6491.7,19.9,2.82,0.132,,,,41.1,False
moments,no filter,CMR,<1 ha,1236,0.0704,5.2,0.0239,0.049,0.0492,VM1,4.82,weak,VM2,10.54,False,4545.2,4550.7,4550.0,4535.0,4535.4,4524.4,5.2,0.14,1.0,,,,55.8,False
moments,no filter,CMR,1-2 ha,290,0.1279,12.7,0.0489,0.0991,0.1016,VM1U,0.42,marginal,VM2,6.92,False,1067.8,1066.3,1066.7,1060.4,1055.3,1048.4,30.2,5.79,0.144,,,,30.8,False
moments,no filter,CMR,>=2 ha,253,0.2533,22.1,0.051,0.1089,0.1088,VM1,5.61,weak,VM1,2.08,True,908.0,913.6,924.5,901.0,903.0,906.9,22.1,0.52,1.0,,,,38.9,False
moments,no filter,CMR,top_decile,177,0.2772,20.0,0.0625,0.1309,0.1301,VM1,5.25,weak,VM1,2.07,True,633.2,638.5,648.1,626.9,628.9,632.3,20.0,0.58,1.0,,,,41.0,False
