ring,basin,size_class,n,RBC,medE_Q4,medE_Q1,S_Q4,S_Q1
fixed,ALL,all,3192,0.015,1.32,1.303,0.509,0.553
fixed,ALL,<1 ha,2126,0.042,1.369,1.333,0.309,0.307
fixed,ALL,1-2 ha,554,-0.005,1.224,1.212,1.36,1.36
fixed,ALL,>=2 ha,512,-0.073,1.25,1.288,2.863,3.047
fixed,CMR,all,1774,0.098,1.415,1.359,0.442,0.489
fixed,CMR,<1 ha,1236,0.104,1.437,1.363,0.293,0.289
fixed,CMR,1-2 ha,290,0.117,1.383,1.305,1.301,1.38
fixed,CMR,>=2 ha,248,-0.029,1.325,1.343,2.825,2.988
fixed,CRR,all,1418,-0.046,1.224,1.272,0.644,0.699
fixed,CRR,<1 ha,890,-0.047,1.272,1.324,0.354,0.329
fixed,CRR,1-2 ha,264,0.001,1.178,1.187,1.394,1.319
fixed,CRR,>=2 ha,264,-0.048,1.155,1.194,2.925,3.352
scaled,ALL,all,3206,-0.13,1.273,1.364,0.219,1.343
scaled,ALL,<1 ha,2126,-0.208,1.279,1.415,0.194,0.464
scaled,ALL,1-2 ha,554,-0.114,1.181,1.212,1.275,1.445
scaled,ALL,>=2 ha,526,-0.296,1.184,1.322,2.86,3.483
scaled,CMR,all,1779,-0.121,1.329,1.414,0.204,1.283
scaled,CMR,<1 ha,1236,-0.161,1.333,1.46,0.178,0.464
scaled,CMR,1-2 ha,290,-0.109,1.29,1.324,1.25,1.405
scaled,CMR,>=2 ha,253,-0.315,1.203,1.32,2.775,3.353
scaled,CRR,all,1427,-0.141,1.218,1.274,0.244,1.459
scaled,CRR,<1 ha,890,-0.267,1.225,1.369,0.194,0.459
scaled,CRR,1-2 ha,264,-0.006,1.167,1.157,1.317,1.459
scaled,CRR,>=2 ha,273,-0.147,1.18,1.28,2.842,3.695
