ring,estimator,basin,size_class,q,n,cons_med,S_med,a_m_med,R_delta,iso_p95,medE
fixed,moments,ALL,all,Q1,798,0.33,0.553,102.2,0.0666,0.0612,1.303
fixed,moments,ALL,all,Q2,798,0.626,0.612,109.5,0.1448,0.0612,1.293
fixed,moments,ALL,all,Q3,798,0.821,0.549,103.5,0.1958,0.0612,1.3
fixed,moments,ALL,all,Q4,798,0.948,0.509,101.1,0.2275,0.0612,1.32
fixed,moments,ALL,<1 ha,Q1,532,0.329,0.307,75.4,0.0502,0.0744,1.333
fixed,moments,ALL,<1 ha,Q2,531,0.637,0.309,76.8,0.1216,0.0747,1.329
fixed,moments,ALL,<1 ha,Q3,531,0.83,0.334,77.1,0.1639,0.0747,1.329
fixed,moments,ALL,<1 ha,Q4,532,0.95,0.309,74.7,0.2067,0.0744,1.369
fixed,moments,ALL,1-2 ha,Q1,139,0.326,1.36,154.0,0.0957,0.1441,1.212
fixed,moments,ALL,1-2 ha,Q2,138,0.656,1.46,156.1,0.1801,0.1486,1.213
fixed,moments,ALL,1-2 ha,Q3,138,0.824,1.452,159.6,0.2449,0.1486,1.248
fixed,moments,ALL,1-2 ha,Q4,139,0.948,1.36,155.5,0.1914,0.1441,1.224
fixed,moments,ALL,>=2 ha,Q1,128,0.34,3.047,239.7,0.0973,0.1535,1.288
fixed,moments,ALL,>=2 ha,Q2,128,0.582,3.225,245.3,0.2339,0.1535,1.261
fixed,moments,ALL,>=2 ha,Q3,128,0.783,3.092,238.5,0.2734,0.1535,1.271
fixed,moments,ALL,>=2 ha,Q4,128,0.935,2.863,218.6,0.4111,0.1535,1.25
fixed,moments,CMR,all,Q1,444,0.305,0.489,96.9,0.0633,0.0786,1.359
fixed,moments,CMR,all,Q2,443,0.601,0.57,108.4,0.1731,0.0826,1.34
fixed,moments,CMR,all,Q3,443,0.805,0.504,103.7,0.1504,0.0826,1.367
fixed,moments,CMR,all,Q4,444,0.937,0.442,96.8,0.2551,0.0786,1.415
fixed,moments,CMR,<1 ha,Q1,309,0.292,0.289,70.2,0.0508,0.0986,1.363
fixed,moments,CMR,<1 ha,Q2,309,0.61,0.339,79.4,0.1408,0.0986,1.385
fixed,moments,CMR,<1 ha,Q3,309,0.82,0.324,78.9,0.1961,0.0986,1.402
fixed,moments,CMR,<1 ha,Q4,309,0.944,0.293,74.0,0.2282,0.0986,1.437
fixed,moments,CMR,1-2 ha,Q1,73,0.34,1.38,156.2,0.1777,0.204,1.305
fixed,moments,CMR,1-2 ha,Q2,72,0.616,1.393,157.5,0.1617,0.2061,1.256
fixed,moments,CMR,1-2 ha,Q3,72,0.778,1.45,159.5,0.1281,0.2061,1.231
fixed,moments,CMR,1-2 ha,Q4,73,0.927,1.301,163.0,0.224,0.204,1.383
fixed,moments,CMR,>=2 ha,Q1,62,0.322,2.988,250.7,0.082,0.2222,1.343
fixed,moments,CMR,>=2 ha,Q2,62,0.538,2.911,246.6,0.1574,0.2222,1.34
fixed,moments,CMR,>=2 ha,Q3,62,0.744,3.143,256.4,0.1996,0.2222,1.361
fixed,moments,CMR,>=2 ha,Q4,62,0.919,2.825,238.6,0.4616,0.2222,1.325
fixed,moments,CRR,all,Q1,355,0.36,0.699,113.3,0.085,0.0902,1.272
fixed,moments,CRR,all,Q2,354,0.666,0.594,100.0,0.1424,0.0918,1.268
fixed,moments,CRR,all,Q3,354,0.842,0.667,106.3,0.2111,0.0918,1.229
fixed,moments,CRR,all,Q4,355,0.955,0.644,109.2,0.2036,0.0902,1.224
fixed,moments,CRR,<1 ha,Q1,223,0.368,0.329,79.7,0.0787,0.1165,1.324
fixed,moments,CRR,<1 ha,Q2,222,0.666,0.289,70.0,0.1223,0.1155,1.279
fixed,moments,CRR,<1 ha,Q3,222,0.843,0.354,74.4,0.1267,0.1155,1.246
fixed,moments,CRR,<1 ha,Q4,223,0.956,0.354,76.9,0.1672,0.1165,1.272
fixed,moments,CRR,1-2 ha,Q1,66,0.315,1.319,151.6,0.0827,0.2092,1.187
fixed,moments,CRR,1-2 ha,Q2,66,0.688,1.494,157.0,0.2201,0.2092,1.192
fixed,moments,CRR,1-2 ha,Q3,66,0.871,1.464,155.6,0.2854,0.2092,1.182
fixed,moments,CRR,1-2 ha,Q4,66,0.963,1.394,149.5,0.2284,0.2092,1.178
fixed,moments,CRR,>=2 ha,Q1,66,0.377,3.352,231.7,0.1861,0.2092,1.194
fixed,moments,CRR,>=2 ha,Q2,66,0.618,3.227,234.5,0.2629,0.2092,1.24
fixed,moments,CRR,>=2 ha,Q3,66,0.808,3.21,229.8,0.4239,0.2092,1.226
fixed,moments,CRR,>=2 ha,Q4,66,0.941,2.925,210.8,0.3439,0.2092,1.155
fixed,feret,ALL,all,Q1,798,0.33,0.553,102.2,0.0653,0.0612,1.303
fixed,feret,ALL,all,Q2,798,0.626,0.612,109.5,0.1457,0.0612,1.293
fixed,feret,ALL,all,Q3,798,0.821,0.549,103.5,0.1777,0.0612,1.3
fixed,feret,ALL,all,Q4,798,0.948,0.509,101.1,0.2269,0.0612,1.32
fixed,feret,ALL,<1 ha,Q1,532,0.329,0.307,75.4,0.0448,0.0744,1.333
