basin,subset,threshold_km2,RBC
CMR,all,0.2,0.3938
CMR,all,0.363,0.2607
CMR,all,0.657,0.1357
CMR,all,1.191,0.0244
CMR,all,2.16,-0.0475
CMR,all,3.915,-0.1019
CMR,all,7.097,-0.1235
CMR,all,12.864,-0.118
CMR,all,23.32,-0.1092
CMR,all,42.273,-0.0858
CMR,all,76.631,-0.0818
CMR,all,138.913,-0.0742
CMR,all,251.813,-0.0688
CMR,all,456.474,-0.0444
CMR,all,827.473,-0.0506
CMR,all,1500.0,-0.0565
CMR,small_tercile,0.2,0.3865
CMR,small_tercile,0.363,0.2798
CMR,small_tercile,0.657,0.1663
CMR,small_tercile,1.191,0.0748
CMR,small_tercile,2.16,0.027
CMR,small_tercile,3.915,0.0118
CMR,small_tercile,7.097,-0.0027
CMR,small_tercile,12.864,0.0265
CMR,small_tercile,23.32,0.0472
CMR,small_tercile,42.273,0.0461
CMR,small_tercile,76.631,0.0415
CMR,small_tercile,138.913,0.0565
CMR,small_tercile,251.813,0.0825
CMR,small_tercile,456.474,0.1232
CMR,small_tercile,827.473,0.1201
CMR,small_tercile,1500.0,0.1092
CMR,large_tercile,0.2,0.4491
CMR,large_tercile,0.363,0.2826
CMR,large_tercile,0.657,0.1204
CMR,large_tercile,1.191,-0.0144
CMR,large_tercile,2.16,-0.1267
CMR,large_tercile,3.915,-0.213
CMR,large_tercile,7.097,-0.2495
CMR,large_tercile,12.864,-0.2732
CMR,large_tercile,23.32,-0.2976
CMR,large_tercile,42.273,-0.2589
CMR,large_tercile,76.631,-0.24
CMR,large_tercile,138.913,-0.2418
CMR,large_tercile,251.813,-0.2318
CMR,large_tercile,456.474,-0.2219
CMR,large_tercile,827.473,-0.2327
CMR,large_tercile,1500.0,-0.2411
CRR,all,0.2,0.3984
CRR,all,0.363,0.2598
CRR,all,0.657,0.1211
CRR,all,1.191,0.0127
CRR,all,2.16,-0.0724
CRR,all,3.915,-0.1318
CRR,all,7.097,-0.1623
CRR,all,12.864,-0.1852
CRR,all,23.32,-0.1957
CRR,all,42.273,-0.1987
CRR,all,76.631,-0.2104
CRR,all,138.913,-0.2223
CRR,all,251.813,-0.1831
CRR,all,456.474,-0.2039
CRR,all,827.473,-0.1818
CRR,all,1500.0,-0.1946
CRR,small_tercile,0.2,0.3124
CRR,small_tercile,0.363,0.195
CRR,small_tercile,0.657,0.0691
CRR,small_tercile,1.191,-0.0116
CRR,small_tercile,2.16,-0.0774
CRR,small_tercile,3.915,-0.1341
CRR,small_tercile,7.097,-0.1317
CRR,small_tercile,12.864,-0.1213
CRR,small_tercile,23.32,-0.129
CRR,small_tercile,42.273,-0.1263
CRR,small_tercile,76.631,-0.0967
CRR,small_tercile,138.913,-0.0839
CRR,small_tercile,251.813,-0.0424
CRR,small_tercile,456.474,-0.0623
CRR,small_tercile,827.473,-0.0333
CRR,small_tercile,1500.0,-0.0454
CRR,large_tercile,0.2,0.5024
CRR,large_tercile,0.363,0.3396
CRR,large_tercile,0.657,0.1831
CRR,large_tercile,1.191,0.0412
CRR,large_tercile,2.16,-0.0783
CRR,large_tercile,3.915,-0.1241
CRR,large_tercile,7.097,-0.1858
CRR,large_tercile,12.864,-0.232
CRR,large_tercile,23.32,-0.2412
CRR,large_tercile,42.273,-0.279
CRR,large_tercile,76.631,-0.3354
CRR,large_tercile,138.913,-0.3683
CRR,large_tercile,251.813,-0.3282
CRR,large_tercile,456.474,-0.3611
CRR,large_tercile,827.473,-0.3399
CRR,large_tercile,1500.0,-0.3592
