estimator,px_bin,n,frac_within_7deg,frac_within_3deg,expected_7deg,expected_3deg
moments,<20,635,0.1827,0.0835,0.1556,0.0667
moments,20-40,658,0.1884,0.0897,0.1556,0.0667
moments,40-80,650,0.16,0.0646,0.1556,0.0667
moments,80-160,566,0.1449,0.0671,0.1556,0.0667
moments,>160,701,0.1284,0.0485,0.1556,0.0667
feret,<20,635,0.0142,0.0047,0.1556,0.0667
feret,20-40,658,0.0182,0.0076,0.1556,0.0667
feret,40-80,650,0.0292,0.0092,0.1556,0.0667
feret,80-160,566,0.0353,0.0071,0.1556,0.0667
feret,>160,701,0.0385,0.0071,0.1556,0.0667
