basin,subset,method,n,R,mean_dir,iso_median,iso_p95,verdict
CMR,all,feret,1779,0.0999,6.0,0.0196,0.0407,above isotropy band
CMR,all,moments,1779,0.1022,12.4,0.0192,0.0401,above isotropy band
CMR,largest50,feret,50,0.3182,28.1,0.1185,0.2465,marginal
CMR,largest50,moments,50,0.2749,31.9,0.1176,0.2465,marginal
CMR,E>=1.3,feret,1009,0.1319,3.4,0.0268,0.0538,above isotropy band
CMR,E>=1.3,moments,1009,0.1374,11.1,0.0266,0.0547,above isotropy band
CMR,top_decile,feret,177,0.2928,22.0,0.062,0.1283,above isotropy band
CMR,top_decile,moments,177,0.2772,20.0,0.0629,0.1316,above isotropy band
CRR,all,feret,1431,0.174,18.3,0.0224,0.0456,above isotropy band
CRR,all,moments,1431,0.1912,21.0,0.0222,0.0459,above isotropy band
CRR,largest50,feret,50,0.5636,22.8,0.1163,0.2427,above isotropy band
CRR,largest50,moments,50,0.5556,20.1,0.1194,0.2482,above isotropy band
CRR,E>=1.3,feret,609,0.2317,15.3,0.0344,0.0702,above isotropy band
CRR,E>=1.3,moments,609,0.2598,17.2,0.0341,0.0703,above isotropy band
CRR,top_decile,feret,143,0.5352,26.0,0.0694,0.1423,above isotropy band
CRR,top_decile,moments,143,0.4868,26.2,0.0683,0.1457,above isotropy band
ALL,all,feret,3210,0.13,13.2,0.0149,0.0312,above isotropy band
ALL,all,moments,3210,0.1403,17.6,0.0146,0.03,above isotropy band
ALL,largest50,feret,50,0.4875,29.4,0.1189,0.2426,above isotropy band
ALL,largest50,moments,50,0.4801,27.9,0.12,0.2442,above isotropy band
ALL,E>=1.3,feret,1618,0.1658,9.5,0.0207,0.0426,above isotropy band
ALL,E>=1.3,moments,1618,0.1825,14.3,0.021,0.0435,above isotropy band
ALL,top_decile,feret,321,0.4262,25.9,0.0463,0.0968,above isotropy band
ALL,top_decile,moments,321,0.3883,25.5,0.0466,0.0957,above isotropy band
