window,n,area_km2,r_m,L_obs,env_lo,env_hi,env_mean,env_p025,env_p975,env_p005,env_p995
CMR,1779,967.0259125051613,435.22240811839697,464.38175140962534,399.98266870931053,445.5591336435713,422.4008470895309,407.920583076161,436.7353067685071,403.6132349313447,440.50923905350743
CMR,1779,967.0259125051613,870.4448162367939,908.637375713052,806.1455750358919,853.6369098010028,829.4765903023344,815.5011478085221,843.5451999185012,810.8386551985103,846.8910538758053
CMR,1779,967.0259125051613,1305.667224355191,1324.9041437945243,1199.380175368206,1250.8530137732887,1225.1631671388518,1207.946144800355,1241.8033681251331,1204.7152932001836,1247.035814200969
CMR,1779,967.0259125051613,1740.8896324735879,1714.781356121536,1585.1427769274394,1638.5742185235997,1611.9364034498294,1594.0808173167025,1632.3889383756216,1591.0187684540456,1636.3776861938356
CMR,1779,967.0259125051613,2176.1120405919846,2090.742138804605,1959.5068885889962,2024.337348568113,1989.7069073462053,1969.0635940875925,2012.4864130518738,1965.4039493950036,2018.9691609652593
CMR,1779,967.0259125051613,2611.3344487103814,2460.1665642044477,2327.016367993919,2400.3420179893583,2360.7774488034556,2337.00447873806,2386.438342014202,2331.4442090113894,2395.9708284647922
CMR,1779,967.0259125051613,3046.556856828779,2812.0865040036597,2685.6304566755903,2774.740850424194,2725.8164019594524,2698.0594615324994,2754.691507557065,2689.501242112641,2765.228854215199
CMR,1779,967.0259125051613,3481.7792649471758,3149.188580188726,3036.5781309017834,3137.0827615245807,3084.742633714972,3051.6256719915505,3118.8593320066843,3042.176180011082,3130.531439040321
CMR,1779,967.0259125051613,3917.0016730655725,3482.8072528433145,3380.635038554275,3502.6729492238305,3438.135331564923,3400.4351192258805,3475.6006347745024,3388.2490128839017,3491.5857715262787
CMR,1779,967.0259125051613,4352.224081183969,3809.669811372193,3717.803449870272,3862.4112336579615,3786.619725603475,3746.1403171294473,3829.960495802604,3731.194509620164,3847.02825665629
CMR,1779,967.0259125051613,4787.446489302366,4128.505413149436,4053.6951714725824,4216.20291323091,4130.094896417159,4085.4050053550727,4177.022814168105,4069.8764056200525,4196.767336029035
CMR,1779,967.0259125051613,5222.668897420764,4439.837870486994,4385.497824771638,4561.741569207933,4468.66056447986,4418.543247837707,4520.511818560892,4400.758995850987,4541.890566833863
CMR,1779,967.0259125051613,5657.89130553916,4747.461154021216,4714.281353375715,4902.162999884546,4802.890341351219,4748.072958834467,4860.205016728402,4728.240080800196,4884.985790529029
CMR,1779,967.0259125051613,6093.113713657557,5051.494228926996,5039.420140775182,5237.275862860095,5132.5750909797225,5072.209384973715,5195.017901637886,5057.160620983321,5223.0127922054735
CMR,1779,967.0259125051613,6528.336121775955,5354.712030902084,5358.163929697738,5564.559629151177,5457.65000379761,5392.472959857675,5526.394130212042,5377.211455403968,5553.732873182653
CMR,1779,967.0259125051613,6963.5585298943515,5658.690424831912,5672.1743746963375,5895.381934991386,5778.2594535754315,5708.045180899598,5853.894958325141,5689.705988841498,5882.542322103596
CMR,1779,967.0259125051613,7398.780938012748,5956.683909652563,5983.530676870806,6220.236554286267,6094.29120835582,6019.957319568733,6177.480641253875,5997.768497502046,6203.714675430187
CMR,1779,967.0259125051613,7834.003346131145,6254.980779110938,6288.124914657927,6538.941380516957,6406.038174705283,6327.739463351491,6496.601523926845,6302.158080101818,6524.709471158726
CMR,1779,967.0259125051613,8269.225754249543,6546.705386119198,6587.3679912041525,6853.7035828017615,6713.341155387403,6629.504678426053,6809.375311704166,6600.6038562308895,6843.57567742559
CMR,1779,967.0259125051613,8704.44816236794,6841.481616793004,6884.969277344698,7163.630120662995,7016.403779974753,6927.148686835468,7118.927668818229,6897.994275623567,7151.305332410874
CMR,1779,967.0259125051613,9139.670570486336,7134.295209340092,7175.83229853676,7475.430898561964,7315.5380393618825,7223.5761315701275,7424.0696274130305,7190.758038835417,7456.568986226189
