basin,r_m,Linhom_obs,Lhom_obs,env_lo,env_hi,env_mean,env_p025,env_p975
CMR,435.22240811839697,502.57785443163226,464.5639438617847,403.11774817863255,453.3334259159321,426.23255446725244,409.94270513414165,442.5564462983756
CMR,870.4448162367939,938.2333359828972,908.653694710573,807.2764484793723,863.1624335813599,834.3195586055755,816.4293311707181,854.6815027970533
CMR,1305.667224355191,1349.112458215981,1325.1400222697152,1198.18799673249,1271.409104446092,1232.6534856835717,1209.9780626578718,1256.8325038198725
CMR,1740.8896324735879,1735.1458576291789,1714.921901238058,1572.9879140831958,1679.8939003478763,1622.0216780776957,1594.4231853449558,1653.020874566911
CMR,2176.1120405919846,2114.613249062228,2090.87577972879,1945.3621584367922,2075.5186781134335,2004.3372801688533,1970.2243918007607,2041.9208102453504
CMR,2611.3344487103814,2491.1278863490074,2460.18361412463,2302.158970915724,2454.4947860509037,2378.6105523499177,2339.112242237984,2422.1257854839446
CMR,3046.556856828779,2850.5169905457383,2812.207937129996,2660.6115262854614,2837.2987772155034,2747.149561457349,2701.3702563765855,2795.876533330324
CMR,3481.7792649471758,3194.9952397454012,3149.3715547987335,3016.3275373241268,3219.426165149236,3109.826922836433,3058.781149372265,3163.895143403349
CMR,3917.0016730655725,3534.886170429243,3483.173273776764,3363.926457426073,3589.742091443199,3467.646807751918,3409.1645008654496,3528.3514779860834
CMR,4352.224081183969,3869.034048366776,3810.1489524263593,3702.359789919844,3957.3003303278856,3819.1517466956157,3756.153943283378,3886.818133502383
CMR,4787.446489302366,4192.695000482155,4129.087436575578,4040.957904937497,4308.723107394251,4165.668824245314,4094.723508707575,4238.253299814988
CMR,5222.668897420764,4509.656388651825,4440.5131871836575,4372.110555350677,4656.490135311396,4506.30551602691,4428.681421749744,4584.625450816191
CMR,5657.89130553916,4823.749776012794,4748.225808790019,4697.269759937467,5008.759734629029,4842.379529654285,4758.070066171486,4929.5104666532725
CMR,6093.113713657557,5132.908887026631,5052.3249286631935,5021.273565021043,5349.328378331279,5174.406363686251,5080.977175951638,5268.951071623256
CMR,6528.336121775955,5440.572875968051,5355.665587780898,5336.542660969319,5683.227138121065,5501.671892890926,5401.871197808918,5602.188164295807
CMR,6963.5585298943515,5751.514168592079,5659.541117093046,5644.155868456542,6011.645725470191,5823.451842341712,5717.59242006399,5930.075513427835
CMR,7398.780938012748,6056.838164988033,5957.442705189679,5951.6361914220415,6342.014885645341,6140.416715654082,6025.173827747543,6252.0801180005465
CMR,7834.003346131145,6360.631423471606,6255.540640874709,6259.555274097946,6658.877278894522,6453.6811616367795,6332.709629243821,6571.297262399712
CMR,8269.225754249543,6657.113030021674,6547.2753118605915,6560.209580638857,6972.820017759194,6761.216827179126,6631.586906747331,6885.880012704205
CMR,8704.44816236794,6957.491832793141,6842.04390712646,6856.892112196057,7281.112644655774,7065.37046610413,6929.200762072807,7194.906889451699
CMR,9139.670570486336,7257.236442688559,7135.004523943668,7149.182012376668,7588.758065349008,7364.948181588006,7225.243660942953,7501.637507883599
CMR,9574.892978604734,7550.707631429026,7421.394661503372,7440.4988767939385,7886.746884996724,7661.597785513661,7514.425148537537,7806.9847203286
CMR,10010.115386723131,7842.670682171838,7705.819215938998,7724.638432567128,8187.135868801539,7954.171671339066,7800.5039907292185,8107.467837878896
CMR,10445.337794841527,8135.186909540475,7991.5137864860535,8005.380882413641,8480.348583629224,8243.710090868295,8084.972621609253,8401.605459975148
CMR,10880.560202959925,8423.560639868674,8275.178739607734,8283.041737477713,8772.341285891871,8528.913329746449,8361.755646814127,8692.543430676957
CRR,404.738629303975,503.0536726257994,370.41245331232,356.9372843221146,542.4102897579565,403.77417050239313,373.33912231993565,443.85010983587625
CRR,809.47725860795,935.8272395603497,856.7325574052124,744.1413645469555,3799.947775455697,802.4478063590844,761.8045532236437,845.7067676586745
CRR,1214.2158879119252,1343.8692125318385,1293.6377927431652,1113.3451738183137,4152.233735843571,1190.6989926903104,1141.2829378430827,1245.958463604512
CRR,1618.9545172159,1717.5378037362495,1704.364672368803,1476.0073529423971,5030.757601645386,1574.8223070256518,1513.328243435584,1641.5129467907195
CRR,2023.6931465198754,2116.1046453566823,2104.436420157829,1836.2819274565097,5981.36456078434,1953.0838811670078,1874.5730761753864,2028.2050837698414
