basin,decile,n,med_area_ha,R,R_iso_p95,RBC_dist_divide
CMR,1,178,0.119,0.1292,0.1285,0.0856
CMR,2,178,0.159,0.0555,0.1276,0.1632
CMR,3,178,0.219,0.0289,0.1341,0.0294
CMR,4,178,0.306,0.0721,0.1365,0.016
CMR,5,178,0.429,0.1597,0.1299,0.0053
CMR,6,177,0.585,0.1451,0.1291,-0.0999
CMR,7,178,0.83,0.0828,0.1291,-0.0422
CMR,8,178,1.252,0.1657,0.1314,-0.2766
CMR,9,178,1.914,0.1409,0.1321,-0.2168
CMR,10,178,3.616,0.2724,0.132,-0.2822
CRR,1,144,0.124,0.0747,0.1411,0.0279
CRR,2,143,0.189,0.0701,0.1419,-0.0557
CRR,3,143,0.264,0.1541,0.1472,-0.115
CRR,4,143,0.384,0.1644,0.1484,-0.0858
CRR,5,143,0.544,0.1954,0.1437,-0.1338
CRR,6,143,0.774,0.1874,0.1453,-0.2411
CRR,7,143,1.1,0.219,0.143,-0.2915
CRR,8,143,1.65,0.1823,0.1455,-0.2881
CRR,9,143,2.375,0.2606,0.1367,-0.3806
CRR,10,143,4.476,0.4868,0.1475,-0.4651
