basin,variable,n_cub,n_ctrl,med_cub,med_ctrl,RBC,p
CMR,slope_s50,1779,9965,0.0794,0.1498,-0.3292,9.914307051669807e-109
CMR,slope_s100,1779,9964,0.0896,0.1291,-0.2204,9.084128303440423e-50
CMR,slope_s200,1777,9961,0.0866,0.1053,-0.1463,7.384017397323036e-23
CMR,slope_s500,1771,9938,0.07,0.0758,-0.0809,5.463943451077208e-08
CMR,dist_divide_km,1779,10000,12.0044,13.5819,-0.0618,3.2063989910181896e-05
CRR,slope_s50,1425,9953,0.0391,0.108,-0.5693,1.4834146568254821e-265
CRR,slope_s100,1425,9952,0.0525,0.0955,-0.4014,4.90158488301288e-133
CRR,slope_s200,1424,9946,0.0564,0.0834,-0.2908,1.107858106488554e-70
CRR,slope_s500,1418,9924,0.0522,0.0668,-0.1982,1.1804656086414034e-33
CRR,dist_divide_km,1431,10000,9.7039,13.9822,-0.2027,1.9496620801761288e-35
ALL,slope_s50,3204,19918,0.0556,0.1256,-0.4132,2.170443838187135e-309
ALL,slope_s100,3204,19916,0.0692,0.1095,-0.2827,6.284230706933488e-146
ALL,slope_s200,3201,19907,0.071,0.0936,-0.197,7.920704891255106e-72
ALL,slope_s500,3189,19862,0.062,0.0717,-0.1243,1.5341095356348584e-29
ALL,dist_divide_km,3210,20000,10.8079,13.7703,-0.1273,4.5183818315288165e-31
