group,kind,stratum,estimator,n,R,perm_p95,perm_mean,iso_p95,medabs,above
ALL/all,length_bin,50-100 m,moments,1143,0.1429,0.0572,0.0299,0.0512,36.5,True
ALL/all,length_bin,100-200 m,moments,1210,0.1616,0.0671,0.0371,0.0498,35.8,True
ALL/all,length_bin,>200 m,moments,443,0.2941,0.1362,0.0859,0.0822,29.8,True
ALL/all,consistency_quartile,Q1,moments,798,0.0666,0.0623,0.0322,0.0613,41.7,True
ALL/all,consistency_quartile,Q2,moments,798,0.1448,0.0708,0.0367,0.0613,35.8,True
ALL/all,consistency_quartile,Q3,moments,798,0.1958,0.0821,0.0453,0.0613,34.1,True
ALL/all,consistency_quartile,Q4,moments,798,0.2275,0.0849,0.0476,0.0613,32.5,True
ALL/<1 ha,consistency_quartile,Q1,moments,532,0.0502,0.0754,0.0383,0.075,42.6,False
ALL/<1 ha,consistency_quartile,Q2,moments,531,0.1216,0.0774,0.0407,0.0751,36.3,True
ALL/<1 ha,consistency_quartile,Q3,moments,531,0.1639,0.0855,0.0438,0.0751,35.6,True
ALL/<1 ha,consistency_quartile,Q4,moments,532,0.2067,0.0819,0.0417,0.075,33.5,True
ALL/1-2 ha,consistency_quartile,Q1,moments,139,0.0957,0.1485,0.0763,0.1468,40.9,False
ALL/1-2 ha,consistency_quartile,Q2,moments,138,0.1801,0.1489,0.0782,0.1473,37.4,True
ALL/1-2 ha,consistency_quartile,Q3,moments,138,0.2449,0.158,0.0816,0.1473,34.7,True
ALL/1-2 ha,consistency_quartile,Q4,moments,139,0.1914,0.1787,0.0952,0.1468,36.3,True
ALL/>=2 ha,consistency_quartile,Q1,moments,128,0.0973,0.1671,0.0893,0.153,38.4,False
ALL/>=2 ha,consistency_quartile,Q2,moments,128,0.2339,0.1736,0.0924,0.153,31.6,True
ALL/>=2 ha,consistency_quartile,Q3,moments,128,0.2734,0.2032,0.1134,0.153,29.5,True
ALL/>=2 ha,consistency_quartile,Q4,moments,128,0.4111,0.2409,0.1521,0.153,27.0,True
CMR/all,consistency_quartile,Q1,moments,444,0.0633,0.0823,0.042,0.0821,41.5,False
CMR/all,consistency_quartile,Q2,moments,443,0.1731,0.0847,0.0425,0.0822,33.9,True
CMR/all,consistency_quartile,Q3,moments,443,0.1504,0.0836,0.0434,0.0822,37.1,True
CMR/all,consistency_quartile,Q4,moments,444,0.2551,0.0891,0.0466,0.0821,31.4,True
CMR/<1 ha,consistency_quartile,Q1,moments,309,0.0508,0.0986,0.051,0.0985,41.9,False
CMR/<1 ha,consistency_quartile,Q2,moments,309,0.1408,0.0991,0.0508,0.0985,35.0,True
CMR/<1 ha,consistency_quartile,Q3,moments,309,0.1961,0.1042,0.0527,0.0985,34.0,True
CMR/<1 ha,consistency_quartile,Q4,moments,309,0.2282,0.1023,0.0509,0.0985,31.5,True
CMR/1-2 ha,consistency_quartile,Q1,moments,73,0.1777,0.2004,0.105,0.2026,35.3,False
CMR/1-2 ha,consistency_quartile,Q2,moments,72,0.1617,0.2057,0.106,0.204,36.6,False
CMR/1-2 ha,consistency_quartile,Q3,moments,72,0.1281,0.2144,0.108,0.204,41.2,False
CMR/1-2 ha,consistency_quartile,Q4,moments,73,0.224,0.2189,0.1164,0.2026,39.6,True
CMR/>=2 ha,consistency_quartile,Q1,moments,62,0.082,0.214,0.1108,0.2198,38.8,False
CMR/>=2 ha,consistency_quartile,Q2,moments,62,0.1574,0.2201,0.1126,0.2198,35.1,False
CMR/>=2 ha,consistency_quartile,Q3,moments,62,0.1996,0.2312,0.1171,0.2198,34.0,False
CMR/>=2 ha,consistency_quartile,Q4,moments,62,0.4616,0.2538,0.1391,0.2198,25.2,True
CRR/all,consistency_quartile,Q1,moments,355,0.085,0.0971,0.052,0.0919,41.5,False
CRR/all,consistency_quartile,Q2,moments,354,0.1424,0.1145,0.0623,0.092,36.4,True
CRR/all,consistency_quartile,Q3,moments,354,0.2111,0.1369,0.0818,0.092,34.0,True
CRR/all,consistency_quartile,Q4,moments,355,0.2036,0.1339,0.0818,0.0919,34.5,True
CRR/<1 ha,consistency_quartile,Q1,moments,223,0.0787,0.112,0.0585,0.1159,43.7,False
CRR/<1 ha,consistency_quartile,Q2,moments,222,0.1223,0.1305,0.0684,0.1162,38.0,False
CRR/<1 ha,consistency_quartile,Q3,moments,222,0.1267,0.1292,0.0684,0.1162,37.3,False
CRR/<1 ha,consistency_quartile,Q4,moments,223,0.1672,0.1301,0.0701,0.1159,35.0,True
CRR/1-2 ha,consistency_quartile,Q1,moments,66,0.0827,0.2121,0.1112,0.213,41.2,False
CRR/1-2 ha,consistency_quartile,Q2,moments,66,0.2201,0.2186,0.1085,0.213,36.6,True
CRR/1-2 ha,consistency_quartile,Q3,moments,66,0.2854,0.2896,0.1672,0.213,33.4,False
CRR/1-2 ha,consistency_quartile,Q4,moments,66,0.2284,0.2204,0.118,0.213,30.8,True
CRR/>=2 ha,consistency_quartile,Q1,moments,66,0.1861,0.2484,0.1313,0.213,36.7,False
CRR/>=2 ha,consistency_quartile,Q2,moments,66,0.2629,0.2594,0.1453,0.213,31.3,True
CRR/>=2 ha,consistency_quartile,Q3,moments,66,0.4239,0.2973,0.1834,0.213,23.2,True
CRR/>=2 ha,consistency_quartile,Q4,moments,66,0.3439,0.2686,0.1578,0.213,28.0,True
ALL/all,length_bin,50-100 m,feret,1143,0.1365,0.0541,0.0284,0.0512,36.5,True
ALL/all,length_bin,100-200 m,feret,1210,0.1418,0.0687,0.0388,0.0498,36.1,True
ALL/all,length_bin,>200 m,feret,443,0.2991,0.1379,0.0907,0.0822,30.2,True
ALL/all,consistency_quartile,Q1,feret,798,0.0653,0.062,0.0319,0.0613,41.4,True
ALL/all,consistency_quartile,Q2,feret,798,0.1457,0.0723,0.0367,0.0613,36.7,True
ALL/all,consistency_quartile,Q3,feret,798,0.1777,0.0748,0.0409,0.0613,34.2,True
ALL/all,consistency_quartile,Q4,feret,798,0.2269,0.0877,0.0479,0.0613,31.9,True
ALL/<1 ha,consistency_quartile,Q1,feret,532,0.0448,0.0766,0.038,0.075,43.1,False
ALL/<1 ha,consistency_quartile,Q2,feret,531,0.1138,0.0824,0.0431,0.0751,37.9,True
ALL/<1 ha,consistency_quartile,Q3,feret,531,0.1553,0.0768,0.0413,0.0751,34.9,True
ALL/<1 ha,consistency_quartile,Q4,feret,532,0.2209,0.0797,0.0403,0.075,32.9,True
ALL/1-2 ha,consistency_quartile,Q1,feret,139,0.0744,0.1456,0.0737,0.1468,38.0,False
ALL/1-2 ha,consistency_quartile,Q2,feret,138,0.1862,0.1489,0.0759,0.1473,35.7,True
ALL/1-2 ha,consistency_quartile,Q3,feret,138,0.2031,0.157,0.0808,0.1473,36.6,True
ALL/1-2 ha,consistency_quartile,Q4,feret,139,0.1611,0.1838,0.1011,0.1468,34.4,False
ALL/>=2 ha,consistency_quartile,Q1,feret,128,0.1063,0.1794,0.0958,0.153,40.0,False
ALL/>=2 ha,consistency_quartile,Q2,feret,128,0.2292,0.1758,0.0928,0.153,33.0,True
ALL/>=2 ha,consistency_quartile,Q3,feret,128,0.2449,0.1926,0.1103,0.153,31.3,True
ALL/>=2 ha,consistency_quartile,Q4,feret,128,0.4368,0.2533,0.164,0.153,24.0,True
CMR/all,consistency_quartile,Q1,feret,444,0.069,0.0793,0.0412,0.0821,41.5,False
CMR/all,consistency_quartile,Q2,feret,443,0.168,0.0839,0.0427,0.0822,35.6,True
CMR/all,consistency_quartile,Q3,feret,443,0.1546,0.0835,0.0429,0.0822,35.3,True
CMR/all,consistency_quartile,Q4,feret,444,0.2583,0.0892,0.0457,0.0821,28.8,True
CMR/<1 ha,consistency_quartile,Q1,feret,309,0.0763,0.1,0.0502,0.0985,41.4,False
CMR/<1 ha,consistency_quartile,Q2,feret,309,0.1316,0.106,0.0531,0.0985,36.2,True
CMR/<1 ha,consistency_quartile,Q3,feret,309,0.1938,0.1002,0.0499,0.0985,33.2,True
CMR/<1 ha,consistency_quartile,Q4,feret,309,0.225,0.1018,0.0517,0.0985,30.4,True
CMR/1-2 ha,consistency_quartile,Q1,feret,73,0.1164,0.2028,0.1042,0.2026,37.1,False
CMR/1-2 ha,consistency_quartile,Q2,feret,72,0.1675,0.2035,0.1037,0.204,36.0,False
CMR/1-2 ha,consistency_quartile,Q3,feret,72,0.1284,0.2011,0.1068,0.204,37.1,False
CMR/1-2 ha,consistency_quartile,Q4,feret,73,0.2149,0.2291,0.1183,0.2026,34.2,False
CMR/>=2 ha,consistency_quartile,Q1,feret,62,0.0523,0.2242,0.1103,0.2198,42.7,False
CMR/>=2 ha,consistency_quartile,Q2,feret,62,0.1603,0.2171,0.1138,0.2198,38.3,False
CMR/>=2 ha,consistency_quartile,Q3,feret,62,0.2129,0.2213,0.1164,0.2198,34.1,False
CMR/>=2 ha,consistency_quartile,Q4,feret,62,0.501,0.2645,0.145,0.2198,23.6,True
CRR/all,consistency_quartile,Q1,feret,355,0.061,0.1017,0.0529,0.0919,41.3,False
CRR/all,consistency_quartile,Q2,feret,354,0.1193,0.1066,0.0579,0.092,38.7,True
CRR/all,consistency_quartile,Q3,feret,354,0.2059,0.1284,0.0725,0.092,33.5,True
CRR/all,consistency_quartile,Q4,feret,355,0.2031,0.1318,0.0791,0.0919,34.7,True
CRR/<1 ha,consistency_quartile,Q1,feret,223,0.0138,0.1192,0.061,0.1159,43.2,False
CRR/<1 ha,consistency_quartile,Q2,feret,222,0.095,0.1249,0.064,0.1162,40.8,False
CRR/<1 ha,consistency_quartile,Q3,feret,222,0.1471,0.1221,0.0642,0.1162,35.2,True
CRR/<1 ha,consistency_quartile,Q4,feret,223,0.1921,0.1285,0.0675,0.1159,35.3,True
CRR/1-2 ha,consistency_quartile,Q1,feret,66,0.1363,0.2073,0.1077,0.213,37.1,False
CRR/1-2 ha,consistency_quartile,Q2,feret,66,0.172,0.2147,0.1122,0.213,37.5,False
CRR/1-2 ha,consistency_quartile,Q3,feret,66,0.1944,0.265,0.1533,0.213,41.0,False
CRR/1-2 ha,consistency_quartile,Q4,feret,66,0.2055,0.2439,0.1239,0.213,30.1,False
CRR/>=2 ha,consistency_quartile,Q1,feret,66,0.2095,0.2744,0.1563,0.213,39.1,False
